Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_INSTS_VALU_MFMA_MOPS_BF16,SQ_INSTS_VALU_MFMA_MOPS_F16,SQ_INSTS_VALU_MFMA_MOPS_F32,SQ_INSTS_VALU_MFMA_MOPS_F64,SQ_INSTS_VALU_MFMA_MOPS_I8,SQ_WAVES,Start_Timestamp,End_Timestamp
1673,1,349184,256,19968,0,36,4,48,64,"void batch_decode_kernels::grouped_expert_gate_up<16, 1>(float const*, char const*, unsigned long const*, unsigned long const*, int const*, int const*, float*, unsigned short*, int, int, int, int, int)",1674,31,235036.0,2162688.0,0.0,0.0,0.0,0.0,5456.0,4912602347401791.0,4912602347539392.0
1674,1,11264,256,19968,0,32,0,48,64,"batch_decode_kernels::mfma_gate_up_swiglu(float*, float const*, unsigned short const*, unsigned short const*, int, int, int)",1675,20,158919.0,720896.0,0.0,0.0,0.0,0.0,176.0,4912602347608352.0,4912602347697312.0
1675,1,507904,256,11264,0,24,0,48,64,"void batch_decode_kernels::grouped_expert_down<16, 1>(float const*, unsigned short const*, char const*, unsigned long const*, int const*, int const*, float*, int, int, int, int)",1676,32,140580.0,1081344.0,0.0,0.0,0.0,0.0,7936.0,4912602347824513.0,4912602347904353.0
1676,1,1280,256,0,0,12,4,32,64,"batch_decode_kernels::reduce_routes_add(float*, float const*, float const*, int, int, int)",1677,28,62985.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602348042274.0,4912602348072354.0
1677,1,8192,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1678,19,195620.0,360448.0,0.0,0.0,0.0,0.0,128.0,4912602348155394.0,4912602348265635.0
1678,1,1280,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",1679,36,33612.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602348367075.0,4912602348380035.0
1679,1,12288,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1680,19,142729.0,393216.0,0.0,0.0,0.0,0.0,192.0,4912602348480836.0,4912602348559876.0
1680,1,2304,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_gemm(float*, float const*, unsigned short const*, int, int, int, int)",1681,19,145951.0,73728.0,0.0,0.0,0.0,0.0,36.0,4912602348624357.0,4912602348704517.0
1681,1,1280,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",1682,43,28797.0,0.0,0.0,0.0,0.0,0.0,20.0,4912602348835717.0,4912602348845637.0
1682,1,32768,256,11264,0,24,0,48,64,"batch_decode_kernels::mfma_head_gemm(float*, float const*, unsigned short const*, int, int, int, int, int, int, unsigned long)",1683,29,32951.0,65536.0,0.0,0.0,0.0,0.0,512.0,4912602348976678.0,4912602348989478.0
