Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_LDS_BANK_CONFLICT,SQ_LDS_IDX_ACTIVE,SQ_WAVES,TCC_BUSY_sum,TCP_GATE_EN1_sum,TCP_GATE_EN2_sum,Start_Timestamp,End_Timestamp
32,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,33,6,20406.0,0.0,0.0,8.0,71754.0,394436.0,3878.0,4912621018064087.0,4912621018069047.0
33,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,34,6,18133.0,0.0,0.0,8.0,56819.0,385219.0,2861.0,4912621018222007.0,4912621018226167.0
34,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,35,6,18181.0,0.0,0.0,8.0,30789.0,385102.0,2712.0,4912621018371607.0,4912621018375767.0
35,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,36,6,21003.0,0.0,0.0,8.0,72404.0,393812.0,3756.0,4912621596331538.0,4912621596336498.0
36,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,37,6,18491.0,0.0,0.0,8.0,55623.0,384049.0,2911.0,4912621596496018.0,4912621596500178.0
37,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,38,6,18026.0,0.0,0.0,8.0,31963.0,381085.0,2646.0,4912621596644498.0,4912621596648498.0
38,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,39,6,20560.0,0.0,0.0,8.0,73613.0,392772.0,3826.0,4912622157970068.0,4912622157975028.0
39,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,40,6,18618.0,0.0,0.0,8.0,55428.0,386688.0,2979.0,4912622158134388.0,4912622158138708.0
40,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,41,6,18414.0,0.0,0.0,8.0,31832.0,386636.0,2602.0,4912622158282868.0,4912622158287188.0
41,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,42,6,20823.0,0.0,0.0,8.0,72183.0,398024.0,3949.0,4912622740123015.0,4912622740128135.0
42,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,43,6,18265.0,0.0,0.0,8.0,55595.0,383087.0,2920.0,4912622740290055.0,4912622740294215.0
43,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,44,6,17713.0,0.0,0.0,8.0,30695.0,376769.0,2608.0,4912622740439335.0,4912622740443175.0
44,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,45,6,20584.0,0.0,0.0,8.0,72652.0,396815.0,3847.0,4912623284667766.0,4912623284672726.0
45,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,46,6,18385.0,0.0,0.0,8.0,56157.0,378719.0,2819.0,4912623284844886.0,4912623284848726.0
46,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,47,6,18274.0,0.0,0.0,8.0,29758.0,383802.0,2668.0,4912623284991286.0,4912623284995446.0
47,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,48,6,20304.0,0.0,0.0,8.0,70197.0,393864.0,3829.0,4912623872212563.0,4912623872217523.0
48,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,49,6,18497.0,0.0,0.0,8.0,57617.0,383685.0,2879.0,4912623872379763.0,4912623872383923.0
49,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,50,6,17559.0,0.0,0.0,8.0,31477.0,377510.0,2641.0,4912623872535443.0,4912623872539283.0
50,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,51,6,19999.0,0.0,0.0,8.0,68268.0,393110.0,3728.0,4912624445682259.0,4912624445687219.0
51,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,52,6,18011.0,0.0,0.0,8.0,55477.0,381371.0,2748.0,4912624445842259.0,4912624445846259.0
52,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,53,6,18482.0,0.0,0.0,8.0,29506.0,387559.0,2750.0,4912624445994579.0,4912624445998899.0
53,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,54,6,20482.0,0.0,0.0,8.0,76104.0,396308.0,3871.0,4912625009815419.0,4912625009820539.0
54,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,55,6,18858.0,0.0,0.0,8.0,54479.0,389795.0,2808.0,4912625009975579.0,4912625009980059.0
55,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,56,6,18300.0,0.0,0.0,8.0,31113.0,383633.0,2674.0,4912625010127259.0,4912625010131419.0
56,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,57,6,20428.0,0.0,0.0,8.0,71047.0,398128.0,3931.0,4912625573468089.0,4912625573473209.0
57,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,58,6,18252.0,0.0,0.0,8.0,54872.0,382970.0,2842.0,4912625573637049.0,4912625573641209.0
58,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,59,6,17571.0,0.0,0.0,8.0,30867.0,376405.0,2632.0,4912625573788729.0,4912625573792569.0
59,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,60,6,20265.0,0.0,0.0,8.0,70545.0,393318.0,3876.0,4912626135435541.0,4912626135440501.0
60,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,61,6,18481.0,0.0,0.0,8.0,54458.0,383035.0,2829.0,4912626135600181.0,4912626135604181.0
61,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,62,6,17797.0,0.0,0.0,8.0,31437.0,379083.0,2662.0,4912626135748341.0,4912626135752341.0
62,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,63,6,20507.0,0.0,0.0,8.0,70883.0,394488.0,3684.0,4912626697322963.0,4912626697327923.0
63,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,64,6,19601.0,0.0,0.0,8.0,56251.0,392473.0,2853.0,4912626697483923.0,4912626697488563.0
64,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,65,6,17944.0,0.0,0.0,8.0,31563.0,380916.0,2710.0,4912626697639123.0,4912626697643123.0
65,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,66,6,20742.0,0.0,0.0,8.0,72511.0,397777.0,3853.0,4912627266240001.0,4912627266245121.0
66,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,67,6,19253.0,0.0,0.0,8.0,56859.0,391225.0,2912.0,4912627266408321.0,4912627266412801.0
67,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,68,6,18148.0,0.0,0.0,8.0,31769.0,381956.0,2708.0,4912627266569441.0,4912627266573601.0
68,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,69,6,21298.0,0.0,0.0,8.0,74611.0,402015.0,4069.0,4912627835184597.0,4912627835189877.0
69,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,70,6,18277.0,0.0,0.0,8.0,56423.0,384777.0,2958.0,4912627835347797.0,4912627835351957.0
70,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,71,6,17894.0,0.0,0.0,8.0,31247.0,380006.0,2694.0,4912627835497557.0,4912627835501557.0
71,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,72,6,20586.0,0.0,0.0,8.0,69795.0,396568.0,3833.0,4912628397625370.0,4912628397630330.0
72,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,73,6,18307.0,0.0,0.0,8.0,56339.0,383620.0,2822.0,4912628397793850.0,4912628397798010.0
73,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,74,6,17623.0,0.0,0.0,8.0,31206.0,381839.0,2661.0,4912628397942330.0,4912628397946330.0
74,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,75,6,20840.0,0.0,0.0,8.0,73559.0,398219.0,3858.0,4912628959559260.0,4912628959564380.0
75,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,76,6,18307.0,0.0,0.0,8.0,55497.0,383932.0,2918.0,4912628959724220.0,4912628959728380.0
76,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,77,6,18191.0,0.0,0.0,8.0,31738.0,378004.0,2554.0,4912628959877020.0,4912628959881020.0
77,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,78,6,20821.0,0.0,0.0,8.0,71474.0,395879.0,3831.0,4912629523763760.0,4912629523768880.0
78,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,79,6,18639.0,0.0,0.0,8.0,55640.0,388261.0,2859.0,4912629523926160.0,4912629523930640.0
79,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,80,6,17984.0,0.0,0.0,8.0,31159.0,379928.0,2585.0,4912629524164881.0,4912629524168881.0
80,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,81,6,20708.0,0.0,0.0,8.0,70564.0,396685.0,3807.0,4912630090832263.0,4912630090837223.0
81,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,82,6,18007.0,0.0,0.0,8.0,57130.0,379161.0,2801.0,4912630090996423.0,4912630091000263.0
82,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,83,6,18045.0,0.0,0.0,8.0,29574.0,382788.0,2632.0,4912630091144263.0,4912630091148263.0
83,1,256,256,0,0,12,4,32,64,__amd_rocclr_fillBufferAligned,84,3,21279.0,0.0,0.0,4.0,38503.0,406877.0,1468.0,4912630643353749.0,4912630643359189.0
84,1,256,256,0,0,12,4,32,64,__amd_rocclr_fillBufferAligned,85,3,19737.0,0.0,0.0,4.0,26043.0,401001.0,2594.0,4912630643515509.0,4912630643520469.0
85,1,2048,256,0,0,8,0,32,64,"batch_decode_kernels::embedding(float*, unsigned short const*, int const*, int*, int, int, int, int)",86,34,20185.0,0.0,0.0,32.0,58312.0,965305.0,25715.0,4912630645592478.0,4912630645597278.0
86,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",87,36,34643.0,0.0,70.0,4.0,62507.0,596027.0,16709.0,4912630645746239.0,4912630645760159.0
87,1,233472,256,0,0,16,0,32,64,"batch_decode_kernels::dual_gemv(float*, unsigned short const*, int, float*, unsigned short const*, int, float const*, int, int)",88,37,73089.0,0.0,175104.0,3648.0,1689256.0,6588143.0,4805697.0,4912630645914240.0,4912630645952800.0
88,1,256,256,1024,0,24,0,32,64,"batch_decode_kernels::kv_norm_rope(unsigned short*, float const*, unsigned short const*, int, int, int, int, int, int, float const*, int, float)",89,33,31042.0,0.0,70.0,4.0,48061.0,548122.0,7797.0,4912630646104641.0,4912630646116321.0
89,1,524288,256,0,0,36,4,32,64,"batch_decode_kernels::q_absorb_rope(float*, float*, float const*, unsigned short const*, int, int, int, int, int, int, int, float const*, int)",90,41,35909.0,0.0,393216.0,8192.0,472275.0,2699479.0,1545867.0,4912630646266721.0,4912630646282081.0
90,1,1024,256,0,0,16,0,32,64,"batch_decode_kernels::attention_score(float*, float const*, float const*, unsigned short const*, int, int, int, int, int, int, int, float)",91,43,28224.0,0.0,768.0,16.0,73489.0,1138205.0,35320.0,4912630646439522.0,4912630646449602.0
91,1,4096,256,1024,0,20,4,48,64,"void attention_kernels::softmax_rows_kernel<256>(float*, int, int, int, int)",92,52,25095.0,0.0,2048.0,64.0,60429.0,1567205.0,42500.0,4912630646811044.0,4912630646818884.0
92,1,524288,256,0,0,16,0,32,64,"batch_decode_kernels::latent_context(float*, float const*, unsigned short const*, int, int, int, int, int, int)",93,26,28049.0,0.0,196608.0,8192.0,123967.0,1949197.0,783117.0,4912630646969124.0,4912630646979365.0
93,1,131072,256,0,0,20,4,32,64,"batch_decode_kernels::value_up(float*, float const*, unsigned short const*, int, int, int, int, unsigned long)",94,30,30310.0,0.0,98304.0,2048.0,356970.0,2164867.0,1188423.0,4912630647129285.0,4912630647141125.0
94,1,131072,256,0,0,16,0,32,64,"batch_decode_kernels::gemv(float*, float const*, unsigned short const*, int, int, int, int)",95,38,47503.0,0.0,98304.0,2048.0,946054.0,3941642.0,3077907.0,4912630647296966.0,4912630647319366.0
95,1,256,256,1024,0,12,4,32,64,"batch_decode_kernels::rmsnorm(float*, float const*, unsigned short const*, int, int, float)",96,36,32620.0,0.0,70.0,4.0,63070.0,569013.0,14773.0,4912630647471847.0,4912630647484487.0
