Dispatch_ID,GPU_ID,Grid_Size,Workgroup_Size,LDS_Per_Workgroup,Scratch_Per_Workitem,Arch_VGPR,Accum_VGPR,SGPR,Wave_Size,Kernel_Name,Correlation_ID,Kernel_ID,GRBM_GUI_ACTIVE,SQ_ACTIVE_INST_FLAT,SQ_ACTIVE_INST_MISC,SQ_ACTIVE_INST_VALU,SQ_ACTIVE_INST_VMEM,SQ_THREAD_CYCLES_VALU,SQ_WAVES,Start_Timestamp,End_Timestamp
33,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,34,13,21032.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912525156026922.0,4912525156032842.0
34,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,35,13,19551.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912525156091562.0,4912525156096362.0
35,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,36,13,22779.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912525750410959.0,4912525750417199.0
36,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,37,13,20826.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912525750491119.0,4912525750496879.0
37,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,38,13,19083.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912525750555919.0,4912525750560399.0
38,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,39,13,24277.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912526349065158.0,4912526349072198.0
39,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,40,13,21694.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912526349142758.0,4912526349148838.0
40,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,41,13,19453.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912526349208358.0,4912526349213158.0
41,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,42,13,23333.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912526945693856.0,4912526945700256.0
42,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,43,13,20612.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912526945771296.0,4912526945777056.0
43,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,44,13,20009.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912526945836416.0,4912526945841696.0
44,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,45,13,24484.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912527543563051.0,4912527543570251.0
45,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,46,13,21234.0,8.0,44.0,144.0,0.0,9216.0,8.0,4912527543660011.0,4912527543665931.0
46,1,512,512,0,0,20,4,32,64,__amd_rocclr_copyBuffer,47,13,19107.0,2.0,41.0,96.0,0.0,6144.0,8.0,4912527543724491.0,4912527543728971.0
